time side P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 acc1 acc2 acc3 ang1 ang2 ang3 totalForce cop1 cop2 
10406711 0 29 78 40 39 15 20 0 2 2 5 10 13 10 7 0 1 -0.194 0.118 0.977 -1.4 3.29 0.0 759 -0.21742 -0.09991 
10406721 0 28 77 40 39 15 21 0 2 2 6 9 13 10 7 0 1 -0.195 0.124 0.975 -0.7 3.64 0.28 757 -0.21576 -0.10047 
10397273 1 0 15 5 4 0 0 0 1 0 0 0 2 3 0 0 0 -0.219 0.075 0.976 -2.17 -4.41 3.71 82 -0.25474 -0.17323 
10397283 1 0 15 5 4 0 1 0 1 0 0 0 2 3 0 0 0 -0.219 0.075 0.97 -1.82 -4.55 3.78 85 -0.25115 -0.17671 
10406733 0 28 77 39 40 14 22 0 2 2 6 9 12 10 7 0 0 -0.19 0.12 0.971 0.07 3.85 0.7 752 -0.21871 -0.1019 
10397293 1 0 15 5 3 0 1 0 0 0 0 0 2 3 0 0 0 -0.216 0.084 0.975 -2.03 -4.48 3.71 78 -0.26252 -0.16336 
10406741 0 28 77 39 40 13 22 0 1 1 6 10 12 10 6 0 2 -0.192 0.119 0.975 1.61 3.85 1.12 745 -0.22048 -0.1045 
10406751 0 28 77 39 39 13 22 0 1 1 6 11 12 10 7 0 2 -0.199 0.125 0.975 2.66 3.85 1.12 747 -0.21654 -0.10319 
10397305 1 0 15 5 3 0 2 0 0 0 0 0 2 3 0 0 0 -0.218 0.086 0.969 -2.52 -4.2 3.64 81 -0.25846 -0.16739 
10397313 1 0 14 5 4 0 1 0 1 0 0 0 2 2 0 0 0 -0.212 0.088 0.976 -3.15 -3.85 3.43 80 -0.2583 -0.16867 
10406761 0 27 76 39 39 14 24 1 2 2 6 11 15 12 6 0 1 -0.195 0.123 0.978 3.08 4.27 1.4 772 -0.20536 -0.10717 
10397323 1 0 14 5 5 0 1 0 0 0 0 0 2 3 0 0 0 -0.213 0.087 0.967 -3.85 -3.71 3.22 81 -0.25959 -0.16781 
10397333 1 0 14 4 5 0 1 0 0 0 0 0 2 4 0 0 0 -0.215 0.083 0.969 -4.34 -3.5 3.15 81 -0.24684 -0.18611 
10406773 0 26 76 39 39 13 25 0 2 1 6 11 16 12 6 1 1 -0.204 0.122 0.982 3.5 4.69 1.54 767 -0.20457 -0.11354 
10406781 0 26 75 39 39 12 24 0 2 2 6 11 16 10 5 0 1 -0.199 0.124 0.979 3.71 5.04 1.68 753 -0.20877 -0.11042 
10406791 0 26 74 39 39 13 23 0 2 2 6 10 16 15 5 0 2 -0.197 0.138 0.98 3.64 5.25 1.54 761 -0.20265 -0.11474 
10397346 1 0 13 5 4 0 1 0 1 0 0 0 2 3 0 0 0 -0.211 0.086 0.976 -4.69 -3.29 3.08 80 -0.24072 -0.17738 
10397353 1 0 15 5 4 0 0 0 1 0 0 0 2 3 0 0 0 -0.222 0.081 0.974 -5.18 -3.15 3.01 82 -0.25474 -0.17323 
10406802 0 26 75 39 39 13 23 0 3 1 6 11 16 16 5 1 3 -0.199 0.128 0.978 3.36 5.04 1.33 773 -0.19838 -0.11952 
10397364 1 0 15 5 4 0 0 0 1 0 0 0 2 3 0 0 0 -0.221 0.084 0.972 -5.32 -3.22 2.8 82 -0.25474 -0.17323 
10397373 1 0 14 4 5 0 1 0 1 0 0 0 2 3 0 0 0 -0.22 0.082 0.975 -5.39 -3.22 2.8 82 -0.24689 -0.18863 
10406814 0 25 75 39 40 12 24 1 3 2 6 11 16 17 5 2 2 -0.198 0.129 0.978 3.22 4.41 1.19 785 -0.19229 -0.11885 
10406821 0 24 75 39 39 11 24 0 2 2 6 12 17 18 6 0 1 -0.201 0.127 0.981 3.78 3.36 1.26 771 -0.19338 -0.12113 
10397385 1 0 14 4 5 0 1 0 0 0 0 0 2 2 0 0 0 -0.216 0.081 0.967 -5.67 -3.29 2.66 76 -0.27266 -0.16902 
10406831 0 24 75 39 39 11 24 0 3 1 6 12 19 19 5 0 3 -0.196 0.132 0.971 4.48 2.31 1.26 780 -0.19011 -0.12832 
10397394 1 0 14 5 5 0 1 0 0 0 0 0 2 2 0 0 0 -0.218 0.087 0.966 -6.16 -3.15 2.73 79 -0.27238 -0.15904 
10406841 0 25 75 39 40 11 25 0 4 1 5 12 19 20 3 0 3 -0.201 0.132 0.975 4.9 1.47 1.26 788 -0.19419 -0.13326 
10406853 0 24 75 39 40 11 27 0 3 0 5 11 18 20 2 0 2 -0.201 0.133 0.977 5.67 0.63 1.61 774 -0.2021 -0.13576 
10397404 1 0 13 5 4 0 1 0 0 1 0 0 2 2 0 0 0 -0.22 0.085 0.972 -6.93 -2.87 2.66 77 -0.24252 -0.13613 
10397414 1 0 14 5 5 0 1 0 0 0 0 0 1 2 0 0 0 -0.224 0.086 0.985 -7.0 -3.36 2.73 76 -0.29062 -0.15389 
10406861 0 28 77 38 40 11 27 0 3 0 5 11 18 20 3 0 1 -0.199 0.133 0.975 6.58 -0.07 1.75 788 -0.20537 -0.13206 
10397426 1 0 15 4 4 0 0 0 1 0 0 0 2 1 0 0 0 -0.242 0.075 0.993 -5.95 -4.34 2.8 74 -0.28118 -0.16572 
10397434 1 0 15 4 3 0 1 0 0 0 0 0 1 1 0 0 0 -0.241 0.082 0.978 -4.48 -5.32 2.94 67 -0.31287 -0.14826 
10406871 0 30 77 39 40 11 30 0 5 0 5 10 19 21 4 0 2 -0.199 0.135 0.983 7.21 -0.84 1.89 820 -0.20062 -0.13477 
10397444 1 0 15 5 4 0 1 0 0 0 0 0 1 0 0 0 0 -0.255 0.059 0.987 -3.64 -5.11 2.03 71 -0.32577 -0.13088 
10406881 0 28 77 39 40 11 35 0 4 0 5 10 18 22 2 0 2 -0.197 0.138 0.979 7.84 -1.68 1.75 820 -0.20315 -0.1398 
10397454 1 0 14 5 5 0 0 0 0 0 0 0 0 0 0 0 0 -0.247 0.099 0.966 -2.17 -5.46 2.03 66 -0.35195 -0.12014 
10406893 0 26 77 39 40 10 38 0 5 0 4 10 18 22 2 0 2 -0.194 0.145 0.98 8.05 -2.1 1.47 822 -0.20207 -0.14567 
10406901 0 26 77 39 41 9 37 0 5 0 5 10 18 22 3 0 1 -0.195 0.148 0.976 7.7 -2.17 1.26 822 -0.20059 -0.14431 
10406911 0 28 77 39 43 9 39 0 6 0 4 10 18 25 3 0 1 -0.19 0.14 0.981 6.79 -1.96 1.19 848 -0.19969 -0.14865 
10397466 1 0 13 5 4 0 0 0 0 0 0 0 0 0 0 0 0 -0.219 0.061 0.962 -1.26 -4.13 2.24 60 -0.35244 -0.11298 
10397474 1 0 12 5 3 0 1 0 0 0 0 0 0 0 0 0 0 -0.234 0.078 0.963 -1.19 -3.36 2.52 57 -0.34265 -0.11308 
10406921 0 28 77 39 43 9 40 0 6 0 4 10 19 25 2 0 3 -0.2 0.141 0.982 5.95 -1.82 1.12 855 -0.19787 -0.15104 
10397484 1 0 12 5 4 0 0 0 0 0 0 0 0 0 0 0 0 -0.187 0.04 0.987 -0.21 -3.15 1.82 57 -0.34963 -0.11064 
10397494 1 0 12 5 3 0 0 0 0 0 0 0 0 0 0 0 0 -0.202 0.074 0.965 1.26 -5.53 1.12 54 -0.35304 -0.10436 
10397506 1 0 12 4 1 0 0 0 0 0 0 0 0 0 0 0 0 -0.181 0.072 0.953 0.7 -6.09 0.14 45 0.0 0.0 
10406936 0 28 78 39 43 9 40 0 8 0 4 9 19 24 2 1 3 -0.195 0.153 0.987 5.25 -1.33 0.98 863 -0.19711 -0.15244 
10406941 0 28 78 39 43 9 40 0 8 0 4 9 19 25 0 0 0 -0.189 0.148 0.982 5.25 -1.19 0.77 854 -0.20435 -0.15449 
10406951 0 28 78 39 43 9 40 0 12 0 3 9 19 24 0 0 0 -0.189 0.148 0.982 5.25 -1.19 0.77 865 -0.20313 -0.15894 
10397514 1 0 13 4 2 0 0 0 0 0 0 0 0 0 0 0 0 -0.175 0.089 0.928 -2.1 -3.22 -0.14 51 -0.36529 -0.11191 
10397524 1 0 14 4 4 0 0 0 0 0 0 0 0 0 0 0 0 -0.153 0.092 0.912 -6.93 2.52 -1.33 59 -0.35963 -0.1256 
10406962 0 27 78 39 43 9 40 0 12 0 2 8 19 26 0 0 0 -0.191 0.147 0.979 5.67 -1.12 0.77 861 -0.20332 -0.16235 
10406973 0 31 79 39 43 9 40 0 11 0 2 7 19 27 0 0 0 -0.192 0.151 0.979 5.39 -0.77 0.77 871 -0.20786 -0.1587 
10406981 0 31 79 39 44 9 40 0 10 0 2 7 19 27 0 0 1 -0.185 0.16 0.97 3.99 -0.07 0.35 871 -0.2081 -0.15808 
10406992 0 30 79 39 44 9 40 0 12 0 1 7 18 26 0 0 0 -0.185 0.16 0.97 3.99 -0.07 0.35 867 -0.21044 -0.16038 
10397534 1 0 13 4 2 0 0 0 0 0 0 0 0 0 0 0 0 -0.162 0.116 0.911 -15.96 7.14 -3.71 51 -0.36529 -0.11191 
10397547 1 0 13 4 2 0 0 0 0 0 0 0 0 0 0 0 0 -0.176 0.14 0.927 -25.76 11.34 -6.02 51 -0.36529 -0.11191 
10397554 1 0 14 4 3 0 0 0 0 0 0 0 0 0 0 0 0 -0.277 0.002 1.057 -29.12 7.42 -3.57 56 -0.36346 -0.12033 
10407002 0 32 79 39 45 9 40 0 12 0 1 6 18 25 0 0 0 -0.191 0.141 0.984 2.94 -0.28 -0.28 870 -0.21442 -0.15818 
10397564 1 0 13 4 3 0 0 0 0 0 0 0 0 0 0 0 0 -0.277 0.002 1.057 -29.12 7.42 -3.57 54 -0.36097 -0.11819 
10407013 0 32 79 39 45 9 40 0 10 0 0 6 17 24 0 0 0 -0.192 0.15 0.977 2.38 -0.28 -0.42 854 -0.22039 -0.15534 
10407022 0 31 79 39 44 8 41 0 10 0 0 6 16 26 0 0 0 -0.187 0.162 0.977 1.54 0.42 -0.56 850 -0.21894 -0.15837 
10407032 0 30 80 39 45 8 42 0 11 0 1 6 17 26 0 0 0 -0.187 0.162 0.977 1.54 0.42 -0.56 865 -0.21499 -0.16074 
10397574 1 0 11 5 2 0 0 0 0 0 0 0 0 0 0 0 0 -0.292 -0.017 0.973 -19.25 2.03 -4.13 49 0.0 0.0 
10397586 1 0 11 4 2 0 0 0 0 0 0 0 0 0 0 0 0 -0.246 0.016 0.968 -12.6 -0.21 -2.8 46 0.0 0.0 
10397594 1 0 10 4 2 0 0 0 0 0 0 0 0 0 0 0 0 -0.219 -0.013 0.943 -3.64 -3.78 4.2 43 0.0 0.0 
10407042 0 31 79 39 45 8 41 0 10 0 0 6 17 24 0 0 0 -0.185 0.156 0.983 1.4 0.28 -0.63 851 -0.21988 -0.15739 
10397604 1 0 14 4 3 0 0 0 0 0 0 0 0 0 0 0 0 -0.24 -0.013 0.978 -3.64 -3.78 4.2 56 -0.36346 -0.12033 
10397614 1 0 18 3 3 0 0 0 0 0 0 0 0 0 0 0 0 -0.256 0.06 0.969 8.05 -9.73 9.03 63 -0.37662 -0.13768 
10407054 0 31 79 39 45 8 40 0 10 0 0 5 16 23 0 0 1 -0.183 0.156 0.975 1.68 0.07 -0.42 841 -0.22317 -0.15608 
10407062 0 31 80 39 44 7 40 0 10 0 0 6 16 23 0 0 1 -0.18 0.16 0.968 1.75 0.7 -0.07 841 -0.22234 -0.1565 
10397626 1 0 16 4 3 0 0 0 0 0 0 0 1 0 0 0 0 -0.242 0.109 0.98 8.26 -8.89 10.01 64 -0.34198 -0.13175 
10407072 0 31 79 39 44 7 40 0 9 0 0 6 15 22 0 0 0 -0.18 0.16 0.968 1.75 0.7 -0.07 827 -0.22647 -0.15365 
10397634 1 0 15 5 3 0 0 0 0 0 0 0 1 0 0 0 0 -0.216 0.079 0.964 7.0 -8.61 8.75 65 -0.33549 -0.12003 
10397644 1 0 18 5 3 0 0 0 0 0 0 0 1 0 0 0 0 -0.217 0.08 0.976 6.16 -9.52 7.35 72 -0.34395 -0.12484 
10407082 0 30 79 39 44 7 39 1 8 0 0 6 14 21 0 0 0 -0.182 0.163 0.975 1.4 1.05 -0.07 816 -0.22835 -0.14953 
10407094 0 30 79 39 44 6 39 0 8 0 0 5 14 21 0 0 0 -0.187 0.164 0.974 1.19 1.4 0.0 806 -0.23192 -0.15243 
10397654 1 1 19 6 4 0 0 0 0 0 0 1 1 0 0 0 0 -0.225 0.072 0.977 5.88 -10.71 6.3 87 -0.32451 -0.11406 
10407102 0 29 79 39 43 6 39 0 7 0 0 4 14 21 0 0 0 -0.185 0.163 0.979 -0.0 3.08 0.07 793 -0.2339 -0.15197 
10407112 0 30 80 39 44 6 39 0 7 0 0 3 14 20 0 0 0 -0.185 0.163 0.979 -0.0 3.08 0.07 797 -0.23813 -0.15057 
10407122 0 30 79 39 43 6 38 0 6 0 0 4 13 20 0 0 0 -0.182 0.166 0.973 -2.31 4.97 -0.56 784 -0.23884 -0.14784 
10397666 1 1 18 7 5 0 0 0 0 0 1 1 1 0 0 0 0 -0.229 0.074 0.974 5.88 -11.27 5.88 93 -0.30165 -0.10413 
10397674 1 0 19 8 5 0 1 0 0 0 0 1 1 1 0 0 0 -0.218 0.066 0.972 5.88 -11.41 5.88 98 -0.30042 -0.12436 
10397684 1 1 17 9 5 0 2 0 0 0 0 1 1 0 0 0 0 -0.212 0.068 0.97 6.02 -11.62 5.88 100 -0.30306 -0.10558 
10407134 0 29 79 39 43 6 37 0 6 0 0 4 13 19 0 0 0 -0.182 0.166 0.973 -2.31 4.97 -0.56 776 -0.23981 -0.14734 
10397694 1 2 19 11 7 0 1 0 0 0 1 1 2 0 0 0 0 -0.221 0.074 0.965 6.09 -12.04 5.95 123 -0.28643 -0.09573 
10407142 0 28 79 39 43 6 36 0 6 0 0 4 13 19 0 0 0 -0.186 0.168 0.975 -4.69 6.51 -1.33 770 -0.23955 -0.1478 
10407152 0 26 79 39 43 6 36 0 5 0 0 4 11 19 0 0 0 -0.187 0.16 0.97 -5.53 7.14 -1.61 754 -0.243 -0.14725 
10397706 1 3 20 12 7 0 2 0 0 0 0 1 2 0 0 0 0 -0.217 0.072 0.967 6.02 -12.11 5.74 131 -0.29935 -0.09585 
10397714 1 4 21 13 8 1 1 0 0 0 0 1 2 0 0 0 0 -0.215 0.072 0.971 6.3 -11.9 5.81 142 -0.30192 -0.08477 
